event_file;eeg_file;total_votes_received;fraction_of_yes;Mode
Bonobo00001_0_520;Bonobo00001_0;12;0.1666666666666666;Train
Bonobo00005_0_1331;Bonobo00005_0;15;0.2666666666666666;Train
Bonobo00006_0_109133;Bonobo00006_0;8;0.0;Train
Bonobo00006_0_117612;Bonobo00006_0;8;0.25;Train
Bonobo00006_0_1238;Bonobo00006_0;8;0.75;Train
Bonobo00006_0_127592;Bonobo00006_0;8;0.5;Train
Bonobo00006_0_153475;Bonobo00006_0;8;0.25;Train
Bonobo00006_0_154650;Bonobo00006_0;8;0.5;Train
Bonobo00006_0_25013;Bonobo00006_0;8;0.375;Train
Bonobo00006_0_32501;Bonobo00006_0;8;0.125;Train
Bonobo00006_0_38246;Bonobo00006_0;8;0.125;Train
Bonobo00017_0_218339;Bonobo00017_0;8;0.625;Train
Bonobo00017_0_83978;Bonobo00017_0;8;0.5;Train
Bonobo00017_1_12199;Bonobo00017_1;8;0.125;Train
Bonobo00017_1_12200;Bonobo00017_1;8;0.25;Train
Bonobo00017_1_200570;Bonobo00017_1;8;0.125;Train
Bonobo00017_1_200571;Bonobo00017_1;8;0.0;Train
Bonobo00020_0_3379;Bonobo00020_0;12;0.0;Train
Bonobo00030_0_192189;Bonobo00030_0;8;0.5;Test
Bonobo00030_0_24392;Bonobo00030_0;8;0.5;Test
Bonobo00030_0_3702;Bonobo00030_0;8;0.25;Test
Bonobo00030_0_5691;Bonobo00030_0;8;0.5;Test
Bonobo00030_0_79053;Bonobo00030_0;8;0.375;Test
Bonobo00032_0_83;Bonobo00032_0;12;0.0;Train
Bonobo00033_0_2651;Bonobo00033_0;12;0.0;Train
Bonobo00033_0_267;Bonobo00033_0;12;0.0;Train
Bonobo00036_0_1175;Bonobo00036_0;3;0.0;Train
Bonobo00036_0_1295;Bonobo00036_0;18;0.0;Train
Bonobo00036_0_2093;Bonobo00036_0;15;0.0;Train
Bonobo00036_0_2173;Bonobo00036_0;15;0.0;Train
Bonobo00036_0_2225;Bonobo00036_0;15;0.0;Train
Bonobo00036_0_2260;Bonobo00036_0;18;0.0;Train
Bonobo00036_0_2292;Bonobo00036_0;12;0.0;Train
Bonobo00036_0_2600;Bonobo00036_0;12;0.0;Train
Bonobo00036_0_2832;Bonobo00036_0;15;0.0666666666666666;Train
Bonobo00036_0_3040;Bonobo00036_0;15;0.1333333333333333;Train
Bonobo00036_0_574;Bonobo00036_0;15;0.0;Train
Bonobo00036_0_603;Bonobo00036_0;18;0.1111111111111111;Train
Bonobo00036_0_678;Bonobo00036_0;15;0.0;Train
Bonobo00036_0_821;Bonobo00036_0;3;0.0;Train
Bonobo00036_0_972;Bonobo00036_0;18;0.0;Train
